#{"t_start": 1760974034.9385483, "env_id": "Pendulum-v1"}
r,l,t
-1058.921406,200,0.161572
-960.008556,200,0.529463
-1620.932052,200,0.883584
-1083.024415,200,1.225951
-1370.71226,200,1.359634
-851.5462,200,1.684124
-1540.217073,200,2.010421
-858.64919,200,2.365624
-752.31736,200,2.690865
-961.057913,200,2.854125
-1539.039435,200,3.178035
-976.294164,200,3.495085
-990.164382,200,3.822222
-1001.662641,200,3.970822
-1666.205564,200,4.315486
-968.986041,200,4.662308
-1629.083984,200,5.003918
-788.219698,200,5.361892
-900.215801,200,5.525982
-888.284151,200,5.869773
-989.430897,200,6.209636
-998.554424,200,6.56609
-1485.525965,200,6.732173
-1182.137696,200,7.073681
-1633.3352,200,7.398896
-1420.023293,200,7.725555
-995.705054,200,8.046403
-1035.197397,200,8.202302
-1565.275919,200,8.534175
-947.998408,200,8.863422
-936.679574,200,9.229442
-869.099428,200,9.388623
-974.731356,200,9.705458
-1124.694385,200,10.049365
-1196.393066,200,10.398827
-1011.948277,200,10.753941
-1660.632911,200,10.903455
-1221.227776,200,11.22549
-1316.667293,200,11.579252
-1284.900765,200,11.899571
-1326.946232,200,12.226103
-1061.815108,200,12.366177
-989.626629,200,12.688592
-1152.609907,200,13.00154
-1184.475881,200,13.322265
-1413.574339,200,13.459866
-1010.861748,200,13.798539
-920.058536,200,14.120569
-1234.155755,200,14.446571
-1758.932303,200,14.787101
-1006.350958,200,14.929821
-1029.212394,200,15.25101
-1011.117895,200,15.360387
-1069.847013,200,15.45719
-999.770987,200,15.579454
-1620.129913,200,15.682875
